# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2024-08-22T00:00:00.0,
# Date end (ISO 8601): 2025-12-23T00:00:00.0,
# Latitude (positive North,ISO 19115): 53.6985
# Longitude (positive East,ISO 19115): -6.2080
# Altitude (m): 0.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2025-12-24,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2024-08-25T06:00:00.0/2024-08-25T07:00:00.0;207.6482;103.5246;53.6538;49.8708;318.0373;15.4498;0.0000;15.4498;0.0000;0.9667,
2024-08-25T07:00:00.0/2024-08-25T08:00:00.0;407.3649;255.2249;179.2103;76.0147;578.7610;54.0954;0.4686;53.6269;1.4021;1.0000,
2024-08-25T08:00:00.0/2024-08-25T09:00:00.0;592.7512;410.4902;329.5757;80.9145;738.4119;58.7739;0.0014;58.7725;0.0031;1.0000,
2024-08-25T09:00:00.0/2024-08-25T10:00:00.0;751.1463;521.9055;381.5233;140.3822;680.6177;99.7779;0.0413;99.7366;0.0682;1.0000,
2024-08-25T10:00:00.0/2024-08-25T11:00:00.0;871.7276;582.3306;344.1780;238.1526;527.6179;222.0062;5.2972;216.7090;7.9562;1.0000,
2024-08-25T11:00:00.0/2024-08-25T12:00:00.0;946.2490;608.1011;304.0990;304.0021;429.0659;270.9462;13.5694;257.3768;19.1742;1.0000,
2024-08-25T12:00:00.0/2024-08-25T13:00:00.0;969.6044;619.7044;297.3817;322.3227;409.0779;234.6603;5.0881;229.5721;7.0072;1.0000,
2024-08-25T13:00:00.0/2024-08-25T14:00:00.0;940.1764;615.5170;325.2141;290.3029;461.5604;116.7242;1.0234;115.7008;1.4197;1.0000,
2024-08-25T14:00:00.0/2024-08-25T15:00:00.0;859.9468;567.1320;316.3844;250.7476;490.8956;233.0837;15.5347;217.5490;24.7357;1.0000,
2024-08-25T15:00:00.0/2024-08-25T16:00:00.0;734.3628;473.9546;265.7101;208.2445;481.8384;266.1459;26.8185;239.3274;48.5100;1.0000,
2024-08-25T16:00:00.0/2024-08-25T17:00:00.0;571.9645;345.5146;179.8648;165.6497;417.2360;96.3149;1.2119;95.1031;2.5024;1.0000,
2024-08-25T17:00:00.0/2024-08-25T18:00:00.0;383.8034;203.9479;89.2170;114.7309;303.8661;58.4076;0.0073;58.4003;0.0305;1.0000,
2024-08-25T18:00:00.0/2024-08-25T19:00:00.0;182.6882;73.8984;20.2736;53.6248;130.2040;32.7257;0.0036;32.7221;0.0268;1.0000,
2024-08-25T19:00:00.0/2024-08-25T20:00:00.0;16.4638;4.1831;0.2967;3.8864;6.3631;3.0108;0.0004;3.0104;0.0089;0.8250,
2024-08-25T20:00:00.0/2024-08-25T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-25T21:00:00.0/2024-08-25T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-25T22:00:00.0/2024-08-25T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-25T23:00:00.0/2024-08-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-26T00:00:00.0/2024-08-26T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-26T01:00:00.0/2024-08-26T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-26T02:00:00.0/2024-08-26T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-26T03:00:00.0/2024-08-26T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-26T04:00:00.0/2024-08-26T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-26T05:00:00.0/2024-08-26T06:00:00.0;25.3700;8.0238;1.6725;6.3513;29.6657;2.6855;0.0000;2.6855;0.0000;0.7500,
